group,date,n_symbols,n_up,n_down,n_flat,pct_above_ma200,avg_rs_rating,avg_ret_1m,source_generated_at
ALL,2026-08-04,879,324,354,201,24.8,50.1,-4.3,2026-08-05T03:07:07Z
Ngân hàng,2026-08-04,27,10,11,6,37.0,64.8,-5.4,2026-08-05T03:07:07Z
Bảo hiểm,2026-08-04,10,5,4,1,20.0,60.7,0.2,2026-08-05T03:07:07Z
"Điện, nước & xăng dầu khí đốt",2026-08-04,70,17,34,19,27.5,59.7,-2.8,2026-08-05T03:07:07Z
Bán lẻ,2026-08-04,15,7,7,1,33.3,59.5,-0.1,2026-08-05T03:07:07Z
Thực phẩm và đồ uống,2026-08-04,80,26,38,16,29.9,55.8,-2.5,2026-08-05T03:07:07Z
Hàng & Dịch vụ Công nghiệp,2026-08-04,124,51,53,20,29.8,53.4,-1.5,2026-08-05T03:07:07Z
Ô tô và phụ tùng,2026-08-04,11,6,4,1,20.0,51.5,-0.7,2026-08-05T03:07:07Z
Xây dựng và Vật liệu,2026-08-04,157,50,59,48,28.6,50.0,-5.8,2026-08-05T03:07:07Z
Hàng cá nhân & Gia dụng,2026-08-04,42,16,18,8,26.2,49.9,-6.8,2026-08-05T03:07:07Z
Hóa chất,2026-08-04,46,22,13,11,20.5,49.7,-0.8,2026-08-05T03:07:07Z
Công nghệ Thông tin,2026-08-04,17,7,9,1,17.6,49.4,-6.6,2026-08-05T03:07:07Z
Truyền thông,2026-08-04,15,6,3,6,26.7,49.3,-6.4,2026-08-05T03:07:07Z
Y tế,2026-08-04,35,13,13,9,20.0,48.5,-5.7,2026-08-05T03:07:07Z
Dầu khí,2026-08-04,11,2,7,2,9.1,46.0,-11.6,2026-08-05T03:07:07Z
Tài nguyên Cơ bản,2026-08-04,65,22,28,15,25.4,45.3,-4.0,2026-08-05T03:07:07Z
Du lịch và Giải trí,2026-08-04,19,8,4,7,10.5,43.6,2.3,2026-08-05T03:07:07Z
Dịch vụ tài chính,2026-08-04,41,14,19,8,21.6,43.0,-9.6,2026-08-05T03:07:07Z
Viễn thông,2026-08-04,4,0,3,1,0.0,36.2,-7.3,2026-08-05T03:07:07Z
Bất động sản,2026-08-04,90,42,27,21,12.4,35.8,-6.9,2026-08-05T03:07:07Z
