ticker,date,close,chg_today_pct,gtgd20_ty,rel_vol,rsi14,macd_hist,bb_pctb,atr_pct,above_sma50,above_sma200,golden_cross,pct_from_52w_high,near_52w_high,pct_above_52w_low,ret_1m,ret_3m,ret_6m,ret_12m,structure,dist_swing_low_pct,source_generated_at,exchange,industry,foreign_room_pct,pe,pb,roe,free_float_est,margin_status,latest_price_date,reference_market_date,days_stale,instrument_type,listing_exchange,listing_source,listing_snapshot_hash,live_universe_status,live_universe_reason,is_live,rs_rating
TT6,2026-08-25,13.0,1.56,0.0,0.51,69.8,0.2,1.16,4.72,True,True,True,-99.7,False,208.8,16.1,83.1,178.4,-99.7,up,22.6,2026-08-25T16:00:00Z,UPCOM,Thực phẩm và đồ uống,100.0,5.69,0.58,10.75,0.3424,,2026-08-25,2026-08-25,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
UDL,2026-08-25,26.0,0.0,0.0,0.39,44.4,-1062.9,0.39,15259.85,False,,,-99.9,False,126.1,8.0,95.9,,,side,12.1,2026-08-25T16:00:00Z,UPCOM,Hàng & Dịch vụ Công nghiệp,,,,,0.095,warning,2026-08-25,2026-08-25,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
SHN,2026-08-25,6.9,-2.82,0.001,1.11,43.5,-0.2,0.15,9.4,False,True,True,-99.9,False,115.6,-12.7,97.1,81.6,-99.9,down,3.0,2026-08-25T16:00:00Z,HNX,Tài nguyên Cơ bản,99.94,77.31,0.45,0.59,1.0,,2026-08-25,2026-08-25,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
ASP,2026-08-25,12.45,0.4,0.003,0.51,66.1,-0.0,0.84,4.51,True,True,True,-99.8,False,205.1,14.7,68.7,163.8,-99.8,side,16.4,2026-08-25T16:00:00Z,HSX,"Điện, nước & xăng dầu khí đốt",0.0,6.22,0.55,9.26,0.351,warning,2026-08-25,2026-08-25,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
THD,2026-08-25,138.2,0.0,0.002,0.78,48.2,-0.8,0.43,7.23,False,True,True,-99.5,False,444.1,11.5,24.4,348.7,-99.5,side,3.9,2026-08-25T16:00:00Z,HNX,Bất động sản,99.69,124.32,2.39,1.94,0.7545,,2026-08-25,2026-08-25,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
LLM,2026-08-25,34.0,-2.86,0.002,0.47,48.3,15.6,0.57,279.2,False,False,True,-99.8,False,128.2,83.8,59.6,70.0,-99.8,side,10.0,2026-08-25T16:00:00Z,UPCOM,Hàng & Dịch vụ Công nghiệp,100.0,7.41,1.19,16.16,0.0,warning,2026-08-25,2026-08-25,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
BNW,2026-08-25,17.4,0.58,0.0,0.5,48.1,32.7,0.31,1030.49,False,,,-99.9,False,60.5,-35.6,7.9,-99.7,,side,5.5,2026-08-25T16:00:00Z,UPCOM,"Điện, nước & xăng dầu khí đốt",,7.43,0.75,9.99,0.1061,,2026-08-25,2026-08-25,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
HII,2026-08-25,9.21,-0.11,0.006,0.67,73.3,-0.0,0.73,3.6,True,True,True,-99.8,False,115.7,48.3,61.6,79.9,-99.8,side,8.2,2026-08-25T16:00:00Z,HSX,Hóa chất,99.51,4.6,0.37,8.51,0.549,,2026-08-25,2026-08-25,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
VNZ,2026-08-25,591.0,1.9,0.004,0.35,58.6,-6.9,0.61,5.59,True,True,True,-99.9,False,91.9,20.6,83.8,68.9,-99.8,side,10.9,2026-08-25T16:00:00Z,UPCOM,Truyền thông,0.0,-30.14,9.79,-45.15,0.1817,,2026-08-25,2026-08-25,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
HSL,2026-08-25,10.1,1.0,0.003,2.97,71.6,0.1,1.16,4.7,True,True,True,-99.9,False,114.9,27.7,111.3,41.7,-99.9,side,21.7,2026-08-25T16:00:00Z,HSX,Thực phẩm và đồ uống,99.34,187.66,0.95,0.51,0.9376,,2026-08-25,2026-08-25,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
