ticker,date,close,chg_today_pct,gtgd20_ty,rel_vol,rsi14,macd_hist,bb_pctb,atr_pct,above_sma50,above_sma200,golden_cross,pct_from_52w_high,near_52w_high,pct_above_52w_low,ret_1m,ret_3m,ret_6m,ret_12m,structure,dist_swing_low_pct,exchange,industry,foreign_room_pct,pe,pb,roe,free_float_est,margin_status,latest_price_date,reference_market_date,days_stale,instrument_type,listing_exchange,listing_source,listing_snapshot_hash,live_universe_status,live_universe_reason,is_live,rs_rating
VVS,2026-07-23,101300.0,-6.98,15.601,1.1,66.3,2052.6,0.93,4.72,True,True,True,-7.7,False,825.1,19.2,26.0,175.6,839.7,side,35.2,HSX,Ô tô và phụ tùng,92.97,4.32,2.14,66.19,0.3653,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
TTD,2026-07-23,119000.0,7.21,0.076,0.24,76.3,1246.8,0.94,4.98,True,True,True,-4.2,False,376.4,132.2,201.3,252.9,265.5,side,25.3,UPCOM,Y tế,,14.26,3.8,28.49,0.7135,,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
TT6,2026-07-23,11800.0,5.36,0.178,0.19,73.1,-49.2,0.77,3.48,True,True,True,-1.7,True,180.3,22.9,138.4,114.2,109.2,up,10.3,UPCOM,Thực phẩm và đồ uống,100.0,7.21,0.56,7.38,0.3424,,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
THD,2026-07-23,134000.0,7.63,2.363,0.31,46.9,-2982.9,0.33,9.62,False,True,True,-39.1,False,427.6,-24.7,329.5,342.2,370.2,side,5.8,HNX,Bất động sản,99.69,114.93,2.64,2.32,0.7545,,2026-07-23,2026-07-23,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
KHD,2026-07-23,22000.0,37.5,0.064,0.05,72.3,334.4,1.08,6.28,True,True,True,0.0,True,400.0,79.9,285.3,297.1,349.9,side,25.7,UPCOM,Tài nguyên Cơ bản,100.0,-9.02,0.49,-4.16,0.0,warning,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,99
TNI,2026-07-23,6790.0,-0.44,6.125,2.68,78.5,146.7,0.95,4.97,True,True,False,-11.6,False,156.2,41.8,29.3,32.1,146.0,up,37.7,HSX,Tài nguyên Cơ bản,99.76,5.24,0.44,9.93,0.8919,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
C69,2026-07-23,18600.0,1.09,16.827,0.68,46.8,-221.4,0.27,4.28,True,True,True,-11.4,False,186.2,-1.6,17.0,16.3,177.6,side,-3.1,HNX,Xây dựng và Vật liệu,96.66,19.09,0.87,5.83,0.8583,,2026-07-23,2026-07-23,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
VIC,2026-07-23,214000.0,5.89,700.836,1.32,48.4,-1766.6,0.23,3.66,True,True,True,-11.6,False,311.5,-7.2,3.3,33.8,259.7,down,1.2,HSX,Bất động sản,93.4,49.13,8.66,9.46,0.4752,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
DMN,2026-07-23,10500.0,9.38,0.034,0.05,79.4,181.0,0.96,6.3,True,True,True,0.0,True,219.1,47.1,79.2,31.2,188.5,side,29.6,UPCOM,Thực phẩm và đồ uống,,4.36,0.49,11.75,0.2153,,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
MDG,2026-07-23,38400.0,-2.29,0.321,1.77,53.8,202.6,0.7,4.91,True,True,True,-20.1,False,275.7,1.6,-6.9,86.0,248.8,side,19.8,HSX,Xây dựng và Vật liệu,,6.25,1.59,30.13,0.3276,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
SHN,2026-07-23,9200.0,-3.16,4.15,1.07,67.6,192.7,0.76,9.18,True,True,True,-19.3,False,187.5,148.6,148.6,100.0,46.0,up,61.4,HNX,Tài nguyên Cơ bản,99.93,182.44,0.39,0.21,0.9005,,2026-07-23,2026-07-23,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
SPV,2026-07-23,29300.0,-9.57,1.721,0.01,51.4,-602.3,0.41,4.99,True,True,True,-16.3,False,246.7,45.8,39.8,102.3,160.7,side,-9.6,UPCOM,Thực phẩm và đồ uống,,,,,0.0,,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
VIW,2026-07-23,24600.0,2.5,5.433,0.51,41.4,-250.1,0.1,6.89,False,True,True,-64.9,False,241.7,-11.5,-28.1,95.2,207.5,down,-3.1,UPCOM,Xây dựng và Vật liệu,,42.21,1.13,3.24,0.1274,warning,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
ASP,2026-07-23,9530.0,-1.04,2.188,0.75,68.4,-28.5,0.77,4.47,True,True,True,-4.4,False,133.6,21.4,71.1,96.1,78.1,side,7.0,HSX,"Điện, nước & xăng dầu khí đốt",0.07,7.22,0.52,7.63,0.351,warning,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,98
C32,2026-07-23,16450.0,-0.3,0.171,0.23,50.6,-63.2,0.51,5.26,True,True,True,-20.0,False,91.3,8.2,46.9,52.3,80.8,side,4.4,HSX,Xây dựng và Vật liệu,99.32,4.13,0.28,7.12,0.4373,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,97
VGR,2026-07-23,95900.0,9.6,9.177,0.2,50.2,-2323.2,0.39,12.55,True,True,True,-41.2,False,144.8,5.4,33.2,31.3,121.5,side,5.2,UPCOM,Hàng & Dịch vụ Công nghiệp,55.57,12.08,6.06,42.93,0.1021,,2026-07-23,2026-07-23,0,STOCK,UPCOM,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,97
MKV,2026-07-23,16800.0,-9.68,0.12,0.02,39.6,-285.9,0.1,9.58,False,True,True,-36.4,False,107.4,-23.6,12.0,60.0,86.7,side,-3.4,HNX,Y tế,93.61,4.47,0.73,17.72,0.1031,,2026-07-23,2026-07-23,0,STOCK,HNX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,97
NAF,2026-07-23,45450.0,-6.96,18.057,2.65,17.8,-116.8,-0.39,1.83,False,True,True,-15.7,False,134.2,-9.6,-10.9,15.9,130.4,side,-3.0,HSX,Thực phẩm và đồ uống,93.08,16.26,2.96,15.32,0.5674,,2026-07-23,2026-07-23,0,STOCK,HSX,VCI,d03c19b41a233f28dc6036b23de3134c07c81523f99b09b9194969134cde7d73,live,eligible_equity_current_session,True,97
